ID,Nivel,Rol,Precondicion,Pasos,ResultadoEsperado,SeveridadSiFalla,Estado,Evidencia
AUTH-004,Perfil,Usuario logueado,Sesion activa,Editar perfil propio con datos validos,Cambios guardados,Alta,Pendiente,
AUTH-005,Perfil,Usuario logueado,Sesion activa,Editar perfil con username email ya existentes,Error de validacion,Media,Pendiente,
AUTH-006,Seguridad,Usuario logueado,Sesion activa,Cambiar contrasena actual valida,Contrasena actualizada,Alta,Pendiente,
AUTH-007,Seguridad,Usuario logueado,Sesion activa,Cambiar contrasena con actual incorrecta,Error de validacion,Alta,Pendiente,
AUTH-008,Perfil,Usuario logueado,Sesion activa,Subir foto de perfil valida,Imagen actualizada,Media,Pendiente,
AUTH-009,Autorizacion,Usuario logueado,Usuario A y B,Usuario A intenta editar perfil de B URL directa,Bloqueado con mensaje,Alta,Pendiente,
AUTH-010,Notificaciones,Usuario logueado,Sesion activa,Abrir listado de notificaciones,Solo notificaciones propias,Alta,Pendiente,
AUTH-011,Notificaciones,Usuario logueado,Notificacion no leida,Abrir notificacion,Se marca como leida,Media,Pendiente,
AUTH-012,Notificaciones,Usuario logueado,Usuario A y notif de B,Usuario A abre notif de B por URL,404 o bloqueo,Alta,Pendiente,
AUTH-013,Cuenta,Usuario logueado,Sin dependencias en cuenta,Eliminar cuenta propia,Cuenta eliminada y sesion cerrada,Alta,Pendiente,
AUTH-014,Cuenta,Usuario logueado,Con dependencias,Eliminar cuenta propia,Operacion bloqueada por integridad,Alta,Pendiente,
EVM-001,Eventos,Event Manager,Sesion event_manager,Abrir listado de eventos,Lista visible,Media,Pendiente,
EVM-002,Eventos,Event Manager,Sesion event_manager,Crear evento valido,Evento creado,Alta,Pendiente,
EVM-003,Eventos,Event Manager,Evento propio,Editar evento propio,Cambios guardados,Alta,Pendiente,
EVM-004,Eventos,Event Manager,Evento ajeno,Intentar editar evento ajeno por URL,Bloqueado,Alta,Pendiente,
EVM-005,Eventos,Event Manager,Evento propio sin reservas,Eliminar evento,Eliminacion correcta,Alta,Pendiente,
EVM-006,Eventos,Event Manager,Evento propio con reservas,Intentar eliminar,Bloqueado por integridad,Alta,Pendiente,
EVM-007,Eventos,Event Manager,Sesion event_manager,Abrir mis eventos,Solo eventos propios,Media,Pendiente,
EVM-008,Reservas,Event Manager,Sesion event_manager,Abrir mis reservas,Solo reservas de sus eventos,Alta,Pendiente,
EVM-009,Reservas,Event Manager,Evento propio y local valido,Crear reserva,Reserva en estado pendiente,Alta,Pendiente,
EVM-010,Reservas,Event Manager,Rango fuera de horario local,Crear reserva,Error de validacion horaria,Alta,Pendiente,
EVM-011,Reservas,Event Manager,Rango con excepcion no disponible,Crear reserva,Error por excepcion,Alta,Pendiente,
EVM-012,Reservas,Event Manager,Misma combinacion evento local ya reservada,Crear reserva,Bloqueo por duplicidad,Media,Pendiente,
EVM-013,Admin,Event Manager,Sesion event_manager,Intentar abrir panel admin,Acceso denegado,Alta,Pendiente,
LCM-001,Locales,Local Manager,Sesion local_manager,Crear local valido,Local creado,Alta,Pendiente,
LCM-002,Locales,Local Manager,Sin dias disponibles,Crear local,Error requiere al menos un dia abierto,Alta,Pendiente,
LCM-003,Locales,Local Manager,Dia con cierre menor o igual apertura,Crear editar local,Error de validacion de horario,Alta,Pendiente,
LCM-004,Locales,Local Manager,Local propio,Editar local propio,Cambios guardados,Alta,Pendiente,
LCM-005,Locales,Local Manager,Local ajeno,Intentar editar por URL,Bloqueado,Alta,Pendiente,
LCM-006,Locales,Local Manager,Local propio sin reservas,Eliminar local,Eliminacion correcta,Alta,Pendiente,
LCM-007,Locales,Local Manager,Local propio con reservas,Intentar eliminar,Bloqueado por integridad,Alta,Pendiente,
LCM-008,Excepciones,Local Manager,Local propio,Crear excepcion no disponible,Excepcion guardada,Alta,Pendiente,
LCM-009,Excepciones,Local Manager,Excepcion disponible parcial sin horas,Crear excepcion,Error de validacion,Media,Pendiente,
LCM-010,Excepciones,Local Manager,Local ajeno,Crear excepcion en local ajeno,Bloqueado,Alta,Pendiente,
LCM-011,Locales,Local Manager,Sesion local_manager,Abrir mis locales,Solo locales propios,Media,Pendiente,
LCM-012,Eventos Reservas,Local Manager,Sesion local_manager,Intentar crear evento o abrir reservas,Bloqueado por permisos,Alta,Pendiente,
ADM-001,Admin panel,Admin,Sesion admin,Abrir panel admin,Acceso permitido,Critica,Pendiente,
ADM-002,Reservas,Admin,Reserva pendiente existente,Cambiar estado a confirmada,Estado actualizado,Critica,Pendiente,
ADM-003,Reservas,Admin,Reserva confirmada,Cambiar estado a cancelada,Estado actualizado,Critica,Pendiente,
ADM-004,Reservas,Admin,Reserva confirmada,Verificar bloqueo en disponibilidad,Excepcion de no disponibilidad creada sincronizada,Alta,Pendiente,
ADM-005,Reservas,Admin,Reserva cancelada,Verificar desbloqueo,Excepcion asociada eliminada,Alta,Pendiente,
ADM-006,Reservas,Admin,Sesion admin,Ver listado de reservas general,Ve todas las reservas,Alta,Pendiente,
ADM-007,Reservas,Admin,Sesion admin,Filtrar por estado en panel,Filtro funciona correctamente,Media,Pendiente,
ADM-008,Eventos,Admin,Evento de otro usuario,Editar eliminar,Permitido por rol admin,Alta,Pendiente,
ADM-009,Locales,Admin,Local de otro usuario,Editar eliminar,Permitido por rol admin,Alta,Pendiente,
ADM-010,Notificaciones,Admin,Acciones de contacto eventos locales reservas,Revisar notificaciones entrantes,Recepcion correcta segun flujo,Alta,Pendiente,
ADM-011,Seguridad,Admin,Usuario no admin,Intentar acceso adminpanel como no admin,Denegado,Critica,Pendiente,
REG-001,Navegacion,Todos,Sesion segun rol,Navegar por cabecera repetidamente,Sin dobles clics ni refresh anomalo,Alta,Pendiente,
REG-002,Responsive,Todos,Movil,Revisar tablas listados clave,Sin scroll horizontal no deseado,Alta,Pendiente,
REG-003,Tema,Todos,Cualquier vista,Alternar claro oscuro,Persistencia y contraste correctos,Media,Pendiente,
REG-004,Errores,Todos,Flujo completo,Revisar logs tras ejecucion,Sin errores 500 ni excepciones nuevas,Critica,Pendiente,
REG-005,Paginacion,Todos,Listados con varias paginas,Navegar siguiente anterior,Parametros y filtros se conservan,Media,Pendiente,
